block	start	end	size
Basic Latin	U+0000	U+007F	128
Latin-1 Supplement	U+0080	U+00FF	128
Latin Extended-A	U+0100	U+017F	128
Latin Extended-B	U+0180	U+024F	208
IPA Extensions	U+0250	U+02AF	96
Spacing Modifier Letters	U+02B0	U+02FF	80
Combining Diacritical Marks	U+0300	U+036F	112
Greek and Coptic	U+0370	U+03FF	144
Cyrillic	U+0400	U+04FF	256
Cyrillic Supplement	U+0500	U+052F	48
Armenian	U+0530	U+058F	96
Hebrew	U+0590	U+05FF	112
Arabic	U+0600	U+06FF	256
Syriac	U+0700	U+074F	80
Arabic Supplement	U+0750	U+077F	48
Thaana	U+0780	U+07BF	64
NKo	U+07C0	U+07FF	64
Samaritan	U+0800	U+083F	64
Mandaic	U+0840	U+085F	32
Syriac Supplement	U+0860	U+086F	16
Arabic Extended-B	U+0870	U+089F	48
Arabic Extended-A	U+08A0	U+08FF	96
Devanagari	U+0900	U+097F	128
Bengali	U+0980	U+09FF	128
Gurmukhi	U+0A00	U+0A7F	128
Gujarati	U+0A80	U+0AFF	128
Oriya	U+0B00	U+0B7F	128
Tamil	U+0B80	U+0BFF	128
Telugu	U+0C00	U+0C7F	128
Kannada	U+0C80	U+0CFF	128
Malayalam	U+0D00	U+0D7F	128
Sinhala	U+0D80	U+0DFF	128
Thai	U+0E00	U+0E7F	128
Lao	U+0E80	U+0EFF	128
Tibetan	U+0F00	U+0FFF	256
Myanmar	U+1000	U+109F	160
Georgian	U+10A0	U+10FF	96
Hangul Jamo	U+1100	U+11FF	256
Ethiopic	U+1200	U+137F	384
Ethiopic Supplement	U+1380	U+139F	32
Cherokee	U+13A0	U+13FF	96
Unified Canadian Aboriginal Syllabics	U+1400	U+167F	640
Ogham	U+1680	U+169F	32
Runic	U+16A0	U+16FF	96
Tagalog	U+1700	U+171F	32
Hanunoo	U+1720	U+173F	32
Buhid	U+1740	U+175F	32
Tagbanwa	U+1760	U+177F	32
Khmer	U+1780	U+17FF	128
Mongolian	U+1800	U+18AF	176
Unified Canadian Aboriginal Syllabics Extended	U+18B0	U+18FF	80
Limbu	U+1900	U+194F	80
Tai Le	U+1950	U+197F	48
New Tai Lue	U+1980	U+19DF	96
Khmer Symbols	U+19E0	U+19FF	32
Buginese	U+1A00	U+1A1F	32
Tai Tham	U+1A20	U+1AAF	144
Combining Diacritical Marks Extended	U+1AB0	U+1AFF	80
Balinese	U+1B00	U+1B7F	128
Sundanese	U+1B80	U+1BBF	64
Batak	U+1BC0	U+1BFF	64
Lepcha	U+1C00	U+1C4F	80
Ol Chiki	U+1C50	U+1C7F	48
Cyrillic Extended-C	U+1C80	U+1C8F	16
Georgian Extended	U+1C90	U+1CBF	48
Sundanese Supplement	U+1CC0	U+1CCF	16
Vedic Extensions	U+1CD0	U+1CFF	48
Phonetic Extensions	U+1D00	U+1D7F	128
Phonetic Extensions Supplement	U+1D80	U+1DBF	64
Combining Diacritical Marks Supplement	U+1DC0	U+1DFF	64
Latin Extended Additional	U+1E00	U+1EFF	256
Greek Extended	U+1F00	U+1FFF	256
General Punctuation	U+2000	U+206F	112
Superscripts and Subscripts	U+2070	U+209F	48
Currency Symbols	U+20A0	U+20CF	48
Combining Diacritical Marks for Symbols	U+20D0	U+20FF	48
Letterlike Symbols	U+2100	U+214F	80
Number Forms	U+2150	U+218F	64
Arrows	U+2190	U+21FF	112
Mathematical Operators	U+2200	U+22FF	256
Miscellaneous Technical	U+2300	U+23FF	256
Control Pictures	U+2400	U+243F	64
Optical Character Recognition	U+2440	U+245F	32
Enclosed Alphanumerics	U+2460	U+24FF	160
Box Drawing	U+2500	U+257F	128
Block Elements	U+2580	U+259F	32
Geometric Shapes	U+25A0	U+25FF	96
Miscellaneous Symbols	U+2600	U+26FF	256
Dingbats	U+2700	U+27BF	192
Miscellaneous Mathematical Symbols-A	U+27C0	U+27EF	48
Supplemental Arrows-A	U+27F0	U+27FF	16
Braille Patterns	U+2800	U+28FF	256
Supplemental Arrows-B	U+2900	U+297F	128
Miscellaneous Mathematical Symbols-B	U+2980	U+29FF	128
Supplemental Mathematical Operators	U+2A00	U+2AFF	256
Miscellaneous Symbols and Arrows	U+2B00	U+2BFF	256
Glagolitic	U+2C00	U+2C5F	96
Latin Extended-C	U+2C60	U+2C7F	32
Coptic	U+2C80	U+2CFF	128
Georgian Supplement	U+2D00	U+2D2F	48
Tifinagh	U+2D30	U+2D7F	80
Ethiopic Extended	U+2D80	U+2DDF	96
Cyrillic Extended-A	U+2DE0	U+2DFF	32
Supplemental Punctuation	U+2E00	U+2E7F	128
CJK Radicals Supplement	U+2E80	U+2EFF	128
Kangxi Radicals	U+2F00	U+2FDF	224
Ideographic Description Characters	U+2FF0	U+2FFF	16
CJK Symbols and Punctuation	U+3000	U+303F	64
Hiragana	U+3040	U+309F	96
Katakana	U+30A0	U+30FF	96
Bopomofo	U+3100	U+312F	48
Hangul Compatibility Jamo	U+3130	U+318F	96
Kanbun	U+3190	U+319F	16
Bopomofo Extended	U+31A0	U+31BF	32
CJK Strokes	U+31C0	U+31EF	48
Katakana Phonetic Extensions	U+31F0	U+31FF	16
Enclosed CJK Letters and Months	U+3200	U+32FF	256
CJK Compatibility	U+3300	U+33FF	256
CJK Unified Ideographs Extension A	U+3400	U+4DBF	6592
Yijing Hexagram Symbols	U+4DC0	U+4DFF	64
CJK Unified Ideographs	U+4E00	U+9FFF	20992
Yi Syllables	U+A000	U+A48F	1168
Yi Radicals	U+A490	U+A4CF	64
Lisu	U+A4D0	U+A4FF	48
Vai	U+A500	U+A63F	320
Cyrillic Extended-B	U+A640	U+A69F	96
Bamum	U+A6A0	U+A6FF	96
Modifier Tone Letters	U+A700	U+A71F	32
Latin Extended-D	U+A720	U+A7FF	224
Syloti Nagri	U+A800	U+A82F	48
Common Indic Number Forms	U+A830	U+A83F	16
Phags-pa	U+A840	U+A87F	64
Saurashtra	U+A880	U+A8DF	96
Devanagari Extended	U+A8E0	U+A8FF	32
Kayah Li	U+A900	U+A92F	48
Rejang	U+A930	U+A95F	48
Hangul Jamo Extended-A	U+A960	U+A97F	32
Javanese	U+A980	U+A9DF	96
Myanmar Extended-B	U+A9E0	U+A9FF	32
Cham	U+AA00	U+AA5F	96
Myanmar Extended-A	U+AA60	U+AA7F	32
Tai Viet	U+AA80	U+AADF	96
Meetei Mayek Extensions	U+AAE0	U+AAFF	32
Ethiopic Extended-A	U+AB00	U+AB2F	48
Latin Extended-E	U+AB30	U+AB6F	64
Cherokee Supplement	U+AB70	U+ABBF	80
Meetei Mayek	U+ABC0	U+ABFF	64
Hangul Syllables	U+AC00	U+D7AF	11184
Hangul Jamo Extended-B	U+D7B0	U+D7FF	80
High Surrogates	U+D800	U+DB7F	896
High Private Use Surrogates	U+DB80	U+DBFF	128
Low Surrogates	U+DC00	U+DFFF	1024
Private Use Area	U+E000	U+F8FF	6400
CJK Compatibility Ideographs	U+F900	U+FAFF	512
Alphabetic Presentation Forms	U+FB00	U+FB4F	80
Arabic Presentation Forms-A	U+FB50	U+FDFF	688
Variation Selectors	U+FE00	U+FE0F	16
Vertical Forms	U+FE10	U+FE1F	16
Combining Half Marks	U+FE20	U+FE2F	16
CJK Compatibility Forms	U+FE30	U+FE4F	32
Small Form Variants	U+FE50	U+FE6F	32
Arabic Presentation Forms-B	U+FE70	U+FEFF	144
Halfwidth and Fullwidth Forms	U+FF00	U+FFEF	240
Specials	U+FFF0	U+FFFF	16
Linear B Syllabary	U+10000	U+1007F	128
Linear B Ideograms	U+10080	U+100FF	128
Aegean Numbers	U+10100	U+1013F	64
Ancient Greek Numbers	U+10140	U+1018F	80
Ancient Symbols	U+10190	U+101CF	64
Phaistos Disc	U+101D0	U+101FF	48
Lycian	U+10280	U+1029F	32
Carian	U+102A0	U+102DF	64
Coptic Epact Numbers	U+102E0	U+102FF	32
Old Italic	U+10300	U+1032F	48
Gothic	U+10330	U+1034F	32
Old Permic	U+10350	U+1037F	48
Ugaritic	U+10380	U+1039F	32
Old Persian	U+103A0	U+103DF	64
Deseret	U+10400	U+1044F	80
Shavian	U+10450	U+1047F	48
Osmanya	U+10480	U+104AF	48
Osage	U+104B0	U+104FF	80
Elbasan	U+10500	U+1052F	48
Caucasian Albanian	U+10530	U+1056F	64
Vithkuqi	U+10570	U+105BF	80
Todhri	U+105C0	U+105FF	64
Linear A	U+10600	U+1077F	384
Latin Extended-F	U+10780	U+107BF	64
Cypriot Syllabary	U+10800	U+1083F	64
Imperial Aramaic	U+10840	U+1085F	32
Palmyrene	U+10860	U+1087F	32
Nabataean	U+10880	U+108AF	48
Hatran	U+108E0	U+108FF	32
Phoenician	U+10900	U+1091F	32
Lydian	U+10920	U+1093F	32
Sidetic	U+10940	U+1095F	32
Meroitic Hieroglyphs	U+10980	U+1099F	32
Meroitic Cursive	U+109A0	U+109FF	96
Kharoshthi	U+10A00	U+10A5F	96
Old South Arabian	U+10A60	U+10A7F	32
Old North Arabian	U+10A80	U+10A9F	32
Manichaean	U+10AC0	U+10AFF	64
Avestan	U+10B00	U+10B3F	64
Inscriptional Parthian	U+10B40	U+10B5F	32
Inscriptional Pahlavi	U+10B60	U+10B7F	32
Psalter Pahlavi	U+10B80	U+10BAF	48
Old Turkic	U+10C00	U+10C4F	80
Old Hungarian	U+10C80	U+10CFF	128
Hanifi Rohingya	U+10D00	U+10D3F	64
Garay	U+10D40	U+10D8F	80
Rumi Numeral Symbols	U+10E60	U+10E7F	32
Yezidi	U+10E80	U+10EBF	64
Arabic Extended-C	U+10EC0	U+10EFF	64
Old Sogdian	U+10F00	U+10F2F	48
Sogdian	U+10F30	U+10F6F	64
Old Uyghur	U+10F70	U+10FAF	64
Chorasmian	U+10FB0	U+10FDF	48
Elymaic	U+10FE0	U+10FFF	32
Brahmi	U+11000	U+1107F	128
Kaithi	U+11080	U+110CF	80
Sora Sompeng	U+110D0	U+110FF	48
Chakma	U+11100	U+1114F	80
Mahajani	U+11150	U+1117F	48
Sharada	U+11180	U+111DF	96
Sinhala Archaic Numbers	U+111E0	U+111FF	32
Khojki	U+11200	U+1124F	80
Multani	U+11280	U+112AF	48
Khudawadi	U+112B0	U+112FF	80
Grantha	U+11300	U+1137F	128
Tulu-Tigalari	U+11380	U+113FF	128
Newa	U+11400	U+1147F	128
Tirhuta	U+11480	U+114DF	96
Siddham	U+11580	U+115FF	128
Modi	U+11600	U+1165F	96
Mongolian Supplement	U+11660	U+1167F	32
Takri	U+11680	U+116CF	80
Myanmar Extended-C	U+116D0	U+116FF	48
Ahom	U+11700	U+1174F	80
Dogra	U+11800	U+1184F	80
Warang Citi	U+118A0	U+118FF	96
Dives Akuru	U+11900	U+1195F	96
Nandinagari	U+119A0	U+119FF	96
Zanabazar Square	U+11A00	U+11A4F	80
Soyombo	U+11A50	U+11AAF	96
Unified Canadian Aboriginal Syllabics Extended-A	U+11AB0	U+11ABF	16
Pau Cin Hau	U+11AC0	U+11AFF	64
Devanagari Extended-A	U+11B00	U+11B5F	96
Sharada Supplement	U+11B60	U+11B7F	32
Sunuwar	U+11BC0	U+11BFF	64
Bhaiksuki	U+11C00	U+11C6F	112
Marchen	U+11C70	U+11CBF	80
Masaram Gondi	U+11D00	U+11D5F	96
Gunjala Gondi	U+11D60	U+11DAF	80
Tolong Siki	U+11DB0	U+11DEF	64
Makasar	U+11EE0	U+11EFF	32
Kawi	U+11F00	U+11F5F	96
Lisu Supplement	U+11FB0	U+11FBF	16
Tamil Supplement	U+11FC0	U+11FFF	64
Cuneiform	U+12000	U+123FF	1024
Cuneiform Numbers and Punctuation	U+12400	U+1247F	128
Early Dynastic Cuneiform	U+12480	U+1254F	208
Cypro-Minoan	U+12F90	U+12FFF	112
Egyptian Hieroglyphs	U+13000	U+1342F	1072
Egyptian Hieroglyph Format Controls	U+13430	U+1345F	48
Egyptian Hieroglyphs Extended-A	U+13460	U+143FF	4000
Anatolian Hieroglyphs	U+14400	U+1467F	640
Gurung Khema	U+16100	U+1613F	64
Bamum Supplement	U+16800	U+16A3F	576
Mro	U+16A40	U+16A6F	48
Tangsa	U+16A70	U+16ACF	96
Bassa Vah	U+16AD0	U+16AFF	48
Pahawh Hmong	U+16B00	U+16B8F	144
Kirat Rai	U+16D40	U+16D7F	64
Medefaidrin	U+16E40	U+16E9F	96
Beria Erfe	U+16EA0	U+16EDF	64
Miao	U+16F00	U+16F9F	160
Ideographic Symbols and Punctuation	U+16FE0	U+16FFF	32
Tangut	U+17000	U+187FF	6144
Tangut Components	U+18800	U+18AFF	768
Khitan Small Script	U+18B00	U+18CFF	512
Tangut Supplement	U+18D00	U+18D7F	128
Tangut Components Supplement	U+18D80	U+18DFF	128
Kana Extended-B	U+1AFF0	U+1AFFF	16
Kana Supplement	U+1B000	U+1B0FF	256
Kana Extended-A	U+1B100	U+1B12F	48
Small Kana Extension	U+1B130	U+1B16F	64
Nushu	U+1B170	U+1B2FF	400
Duployan	U+1BC00	U+1BC9F	160
Shorthand Format Controls	U+1BCA0	U+1BCAF	16
Symbols for Legacy Computing Supplement	U+1CC00	U+1CEBF	704
Miscellaneous Symbols Supplement	U+1CEC0	U+1CEFF	64
Znamenny Musical Notation	U+1CF00	U+1CFCF	208
Byzantine Musical Symbols	U+1D000	U+1D0FF	256
Musical Symbols	U+1D100	U+1D1FF	256
Ancient Greek Musical Notation	U+1D200	U+1D24F	80
Kaktovik Numerals	U+1D2C0	U+1D2DF	32
Mayan Numerals	U+1D2E0	U+1D2FF	32
Tai Xuan Jing Symbols	U+1D300	U+1D35F	96
Counting Rod Numerals	U+1D360	U+1D37F	32
Mathematical Alphanumeric Symbols	U+1D400	U+1D7FF	1024
Sutton SignWriting	U+1D800	U+1DAAF	688
Latin Extended-G	U+1DF00	U+1DFFF	256
Glagolitic Supplement	U+1E000	U+1E02F	48
Cyrillic Extended-D	U+1E030	U+1E08F	96
Nyiakeng Puachue Hmong	U+1E100	U+1E14F	80
Toto	U+1E290	U+1E2BF	48
Wancho	U+1E2C0	U+1E2FF	64
Nag Mundari	U+1E4D0	U+1E4FF	48
Ol Onal	U+1E5D0	U+1E5FF	48
Tai Yo	U+1E6C0	U+1E6FF	64
Ethiopic Extended-B	U+1E7E0	U+1E7FF	32
Mende Kikakui	U+1E800	U+1E8DF	224
Adlam	U+1E900	U+1E95F	96
Indic Siyaq Numbers	U+1EC70	U+1ECBF	80
Ottoman Siyaq Numbers	U+1ED00	U+1ED4F	80
Arabic Mathematical Alphabetic Symbols	U+1EE00	U+1EEFF	256
Mahjong Tiles	U+1F000	U+1F02F	48
Domino Tiles	U+1F030	U+1F09F	112
